15 15
4 5 4 5 5 5 3 3 4 5 3 3 6 6 6 
5 9 6 1 1 1 7 7 7 1 9 1 2 2 2 
5 1 9 1 7 9 7 9 7 7 7 6 1 7 3 
4 9 1 6 7 6 7 1 7 1 1 6 1 7 3 
4 4 9 7 1 1 1 6 6 7 9 7 6 1 5 
4 4 1 6 6 7 1 7 7 9 1 1 9 1 5 
5 6 1 1 1 6 1 7 1 7 7 7 7 7 3 
5 1 9 1 7 6 6 7 1 1 1 1 9 1 5 
3 1 1 9 1 1 1 7 7 7 1 9 7 9 3 
3 1 7 7 7 1 1 1 1 7 6 1 7 7 5 
4 9 1 7 7 1 7 1 7 7 6 1 1 7 5 
5 6 7 9 7 7 1 1 1 7 1 7 9 9 3 
3 6 1 1 1 1 7 7 7 9 1 1 9 5 5 
3 6 7 1 7 7 9 9 1 7 1 1 9 7 5 
5 5 3 3 5 3 3 4 3 3 3 3 5 5 5 
0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 
0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 
0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 3=C 0=P 0=P 0=P 0=P 0=P 0=P 
0=P 0=P 2=C 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 2=C 0=P 0=P 
0=P 0=P 0=P 0=P 0=P 0=P 5=C 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 
0=P 0=P 0=P 0=P 0=P 0=P 0=P 5=C 5=C 0=P 0=P 0=P 0=P 2=C 0=P 
0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 
0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 3=C 0=P 0=P 0=P 0=P 
0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 
0=P 0=P 0=P 0=P 0=P 6=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 
0=P 0=P 0=P 5=P 0=P 5=P 0=P 5=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 
0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 
0=P 0=P 0=P 0=P 3=P 0=P 3=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 
0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 
0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 0=P 
